full_name,neo,pha,H,G,M1,M2,epoch,e,a,q,i,om,w,ma,ad,n,per_y,moid
     C/2002 R5 (SOHO),Y,,,,,,2453575.5,0.9853,3.216,0.047,14.12,13.21,45.73,179.91,6.38,0.1709,5.77,0.0941
     P/2002 S7 (SOHO),Y,,,,,,2453663.5,0.9848,3.224,0.049,13.58,50.19,52.17,191.61,6.4,0.1703,5.79,0.114
     P/2003 T12 (SOHO),Y,,,,19.6,,2456072.5,0.7762,2.568,0.575,11.48,176.47,217.67,28.63,4.56,0.2395,4.12,0.155
     P/2005 T4 (SWAN),Y,,,,15.4,,2453667.5,0.9304,9.324,0.649,160.04,25.42,41.44,0.47,18,0.03462,28.5,0.157
     P/2006 HR30 (Siding Spring),Y,,,,13.9,,2454046.5,0.8431,7.818,1.226,31.88,309.95,117.41,357.46,14.41,0.04509,21.9,0.453
     P/2007 T2 (Kowalski),Y,,,,18.5,,2454411.5,0.775,3.093,0.696,9.9,4,358.55,8.88,5.49,0.1812,5.44,0.156
     P/2008 Y12 (SOHO),Y,,,,,,2455493.5,0.9788,3.078,0.065,23.35,312.57,146.62,122.37,6.09,0.1825,5.4,0.0446
     P/2009 WX51 (Catalina),Y,,,,20.6,,2455174.5,0.7403,3.08,0.8,9.59,31.76,118.02,350.32,5.36,0.1823,5.41,0.00933
     C/2010 L5 (WISE),Y,,,,18.9,20.6,2455379.5,0.9042,8.26,0.791,147.05,206.47,214.76,2.9,15.73,0.04152,23.7,0.113
     C/2011 S2 (Kowalski),Y,,,,15.6,,2455857.5,0.9316,16.31,1.115,17.57,288.07,192.19,359.95,31.5,0.01497,65.8,0.138
     P/2012 NJ (La Sagra),Y,,,,14.8,,2456158.5,0.8481,8.503,1.292,84.38,315.76,338.41,2.66,15.71,0.03975,24.8,0.315
     P/2015 A3 (PANSTARRS),Y,,,,20.7,,2457067.5,0.8459,7.482,1.153,172.51,277.08,249.62,359.57,13.81,0.04816,20.5,0.204
     C/2015 D1 (SOHO),Y,,,,10,,2457073.5,0.9943,4.989,0.028,69.62,95.88,234.96,0.02,9.95,0.08845,11.1,0.516
     C/2015 F5 (SWAN-Xingming),Y,,,,14.1,19.6,2457134.5,0.9777,15.55,0.346,149.26,287.74,13.39,0.4,30.75,0.01607,61.3,0.442
     C/2015 X8 (NEOWISE),Y,,,,16.2,18.1,2457409.5,0.9391,19.55,1.19,155.28,191.11,20.4,1.04,37.91,0.0114,86.4,0.217
     P/2017 Y3 (Leonard),Y,,,,16.5,18.6,2458169.5,0.8707,9.865,1.275,27.59,153.87,67.53,0.28,18.45,0.03181,31,0.491
     P/2019 M2 (ATLAS),Y,,,,20.5,,2458780.5,0.6485,3.025,1.063,12.28,307.6,332.52,23.1,4.99,0.1873,5.26,0.0772
     P/2019 Y3 (Catalina),Y,,,,19.1,,2458846.5,0.6958,2.998,0.912,24.64,139.38,2.27,2.95,5.08,0.1899,5.19,0.074
     P/2020 G1 (Pimentel),Y,,,,17.4,18.5,2458973.5,0.8596,3.603,0.506,18.47,240.11,207.64,6.86,6.7,0.1441,6.84,0.272
     C/2020 M3 (ATLAS),Y,,,,14.6,,2459179.5,0.9527,26.82,1.268,23.47,71.25,328.45,0.22,52.37,0.007097,139,0.327
     P/2021 HS (PANSTARRS),Y,,,,20.6,,2459398.5,0.8102,4.196,0.796,12.17,262.4,46.09,356.06,7.59,0.1147,8.59,0.0423
     P/2021 N1 (ZTF),Y,,,,17.8,,2459402.5,0.6768,2.977,0.962,11.51,301.16,21.19,5.84,4.99,0.1919,5.14,0.0211
     P/2021 PE20 (ATLAS),Y,,,,15.4,,2459463.5,0.6708,3.746,1.233,20.02,99.63,210.45,12.35,6.26,0.1359,7.25,0.255
     P/2021 Q5 (ATLAS),Y,,,,15.7,16.5,2459474.5,0.6242,3.285,1.235,10.73,239.78,180.89,2.91,5.34,0.1655,5.96,0.247
     C/2023 E1 (ATLAS),Y,,,,16.2,,2460127.5,0.9469,19.33,1.027,38.31,164.57,105.89,0.01,37.64,0.01159,85,0.365
     C/2023 S3 (Lemmon),Y,,,,16.3,,2460300.5,0.9708,28.47,0.83,140.5,233.83,281.57,359.81,56.11,0.006488,152,0.218
     P/2024 L4 (Rankin),Y,,,,21.9,,2460488.5,0.6984,2.229,0.672,10.05,139.78,53.71,21.84,3.79,0.2962,3.33,0.0637
