neo,pha,full_name,diameter,orbit_id,epoch,e,a,q,i,w,per_y,om,ma,ad,n,moid,H,class,Notes,
Y,Y, 13651 (1997 BR),0.562,JPL 171,2460600.5,0.3057,1.335,0.927,17.25,133.86,1.54,116.63,262.62,1.74,0.6386,0.0139,17.89,APO,,
Y,Y,267221 (2001 AD2),0.562,JPL 104,2460600.5,0.6598,1.04,0.354,1.64,111.95,1.06,210.54,235.31,1.73,0.9292,0.00821,19.85,APO,,
Y,Y,363024 (1998 OK1),0.558,JPL 80,2460600.5,0.4293,1.356,0.774,13.99,298.64,1.58,109.64,160.98,1.94,0.6241,0.0394,19.42,APO,,
Y,N,505093 (2011 VQ5),0.556,JPL 111,2460600.5,0.4367,2.062,1.161,7.19,89.57,2.96,30.28,95.36,2.96,0.333,0.223,20.2,AMO,,
Y,Y,409836 (2006 QY110),0.554,JPL 71,2460600.5,0.5741,1.924,0.819,6.4,221.63,2.67,222.61,261.88,3.03,0.3693,0.0318,18.07,APO,,
Y,N,200754 (2001 WA25),0.553,JPL 129,2460600.5,0.5169,1.756,0.849,15.51,83.79,2.33,279.74,321.14,2.66,0.4234,0.0976,18.51,APO,,
Y,N,393569 (2003 JC13),0.551,JPL 88,2460600.5,0.3152,1.066,0.73,8.51,172.05,1.1,205.8,50.73,1.4,0.8952,0.143,20.3,APO,,
Y,Y,  5604 (1992 FE),0.55,JPL 196,2460600.5,0.4061,0.9286,0.552,4.71,82.68,0.895,311.89,269.92,1.31,1.101,0.0333,17.38,ATE,,
Y,Y,231937 (2001 FO32),0.55,JPL 73,2460600.5,0.8258,1.699,0.296,39.01,123.36,2.21,181.71,202.09,3.1,0.4451,0.00208,17.58,APO,,
Y,N,523636 (2010 EX119),0.55,JPL 34,2460600.5,0.5946,1.905,0.772,15.55,22.34,2.63,211.82,174.41,3.04,0.3749,0.157,19.42,APO,,
Y,Y,454100 (2013 BO73),0.548,JPL 72,2460600.5,0.4182,1.331,0.775,4.54,298.15,1.54,24.78,356.14,1.89,0.6415,0.0178,20.18,APO,,
Y,Y,162116 (1998 SA15),0.538,JPL 32,2460600.5,0.5585,1.916,0.846,7.11,331.44,2.65,114.17,267.66,2.99,0.3717,0.0465,19.54,APO,,
Y,Y,455299 (2002 EL6),0.537,JPL 119,2460600.5,0.5779,2.304,0.972,9.53,186.71,3.5,84.87,145.71,3.64,0.2818,0.0368,18.05,APO,,
Y,Y,480936 (2003 QH5),0.537,JPL 71,2460600.5,0.2202,1.26,0.982,17.62,321.16,1.41,299.21,27.81,1.54,0.6972,0.00732,20.26,APO,,
Y,Y,250706 (2005 RR6),0.535,JPL 109,2460600.5,0.7011,2.957,0.884,6.93,59.96,5.09,27.27,258.29,5.03,0.1938,0.034,18.55,APO,,
Y,N, 10636 (1998 QK56),0.533,JPL 141,2460600.5,0.5129,1.884,0.918,13.58,286.31,2.59,172.93,359.24,2.85,0.381,0.112,17.7,APO,,
Y,N,252558 (2001 WT1),0.533,JPL 73,2460600.5,0.3973,1.089,0.657,7.16,180.71,1.14,73.77,202.7,1.52,0.8667,0.122,20.31,APO,,
Y,Y,152978 (2000 GJ147),0.531,JPL 168,2460600.5,0.2367,1.162,0.887,25.01,240.8,1.25,57.85,134.02,1.44,0.7866,0.0239,19.57,APO,,
Y,Y,  6489 Golevka (1991 JX),0.53,JPL 107,2460600.5,0.6151,2.484,0.956,2.27,68.66,3.91,209.42,151.88,4.01,0.2518,0.024,19.22,APO,,
Y,N,439898 (2000 TG2),0.53,JPL 70,2460600.5,0.2454,1.522,1.148,12,200.42,1.88,206.82,263.66,1.9,0.5251,0.163,19.99,AMO,,
Y,Y,434096 (2002 GO5),0.528,JPL 66,2460600.5,0.7679,1.896,0.44,13.77,65.35,2.61,22.6,244.76,3.35,0.3776,0.0319,18.15,APO,,
Y,N, 22099 (2000 EX106),0.524,JPL 297,2460600.5,0.2762,1.104,0.799,9.85,186.56,1.16,136.43,320.17,1.41,0.8491,0.167,18.09,APO,,
Y,N,276703 (2004 BL11),0.521,JPL 77,2460600.5,0.7498,1.26,0.315,9.81,176.95,1.41,142.42,334.14,2.21,0.6967,0.131,19.3,APO,,
Y,N,337119 (1999 TK12),0.521,JPL 88,2460600.5,0.3928,1.683,1.022,24.49,112.21,2.18,359.05,112.03,2.34,0.4514,0.197,18.61,AMO,,
Y,Y,381906 (2010 CL19),0.52,JPL 160,2460600.5,0.6455,1.543,0.547,7.31,76.82,1.92,243.78,271.11,2.54,0.5144,0.0114,17.8,APO,,
Y,N,326683 (2002 WP),0.518,JPL 222,2460600.5,0.2158,1.45,1.137,19.15,1.24,1.75,76.29,178.64,1.76,0.5645,0.153,18.45,AMO,,
Y,Y,153201 (2000 WO107),0.51,JPL 183,2460600.5,0.7808,0.9111,0.2,7.77,213.75,0.87,69.2,219.51,1.62,1.133,0.00292,19.3,ATE,,
Y,N,  1915 Quetzalcoatl (1953 EA),0.5,JPL 13,2460600.5,0.5703,2.544,1.093,20.4,347.77,4.06,162.93,284.48,4,0.2429,0.111,18.38,AMO,,
Y,Y,  3757 Anagolay (1982 XB),0.5,JPL 57,2460600.5,0.4459,1.834,1.017,3.87,17.24,2.48,74.93,293.7,2.65,0.3967,0.0372,19.04,APO,,
Y,N,  7025 (1993 QA),0.498,JPL 151,2460600.5,0.315,1.476,1.011,12.61,323.45,1.79,146.59,14.75,1.94,0.5498,0.064,18.08,APO,,
Y,N,367684 (2010 OS22),0.498,JPL 94,2460600.5,0.6887,1.637,0.51,9.36,179.65,2.09,256.9,258.66,2.76,0.4706,0.159,18.06,APO,,
Y,Y,349068 (2006 YT13),0.496,JPL 98,2460600.5,0.4258,1.323,0.76,38.24,105.45,1.52,116.69,205.04,1.89,0.6478,0.0368,18.34,APO,,
Y,Y,244977 (2004 BE68),0.495,JPL 86,2460600.5,0.4446,1.761,0.978,15.74,191.28,2.34,210.88,343.49,2.54,0.4219,0.0107,18.48,APO,,
Y,Y,453707 (2010 XY72),0.495,JPL 85,2460600.5,0.2287,1.133,0.874,31.48,307.01,1.21,34.42,210.45,1.39,0.8171,0.0473,18.73,APO,,
Y,N,468117 (2014 ED),0.493,JPL 36,2460600.5,0.6382,1.547,0.559,21.77,355.08,1.92,74.95,221.61,2.53,0.5125,0.365,19.18,APO,,
Y,N,614643 (2010 GH65),0.493,JPL 26,2460600.5,0.6104,2.711,1.056,21.01,228.18,4.46,42.72,85.01,4.37,0.2208,0.152,18.87,AMO,,
Y,N,675481 (2015 XL128),0.492,JPL 48,2460600.5,0.7019,2.575,0.768,17.93,161.29,4.13,42.18,28.02,4.38,0.2385,0.189,17.82,APO,,
Y,Y,215588 (2003 HF2),0.488,JPL 119,2460600.5,0.6755,1.114,0.361,3.06,231.04,1.18,189.88,195.33,1.87,0.8383,0.00324,19.42,APO,,
Y,Y,101955 Bennu (1999 RQ36),0.482,JPL 118,2455562.5,0.2037,1.126,0.897,6.03,66.22,1.2,2.06,101.7,1.36,0.8245,0.00322,20.21,APO,Target of NASA's OSIRIS-REx mission; distant future impact risk,
Y,Y,226554 (2003 WR21),0.482,JPL 121,2460600.5,0.2615,1.118,0.826,9.27,108.11,1.18,85.76,123.09,1.41,0.8334,0.0295,19.62,APO,,
Y,N,361538 (2007 JZ20),0.479,JPL 110,2460600.5,0.3351,1.311,0.872,40.48,139.03,1.5,200.48,155.44,1.75,0.6566,0.066,18.64,APO,,
Y,N,306462 (1999 RC32),0.476,JPL 102,2460600.5,0.4319,1.838,1.044,30.96,82.86,2.49,352.29,352.11,2.63,0.3954,0.317,18.63,AMO,,
Y,N,401925 (2002 AT15),0.475,JPL 52,2460600.5,0.4752,1.894,0.994,36.38,266.52,2.61,108.4,295.1,2.79,0.3781,0.312,18.48,APO,,
Y,N,381677 (2009 BJ81),0.472,JPL 284,2460600.5,0.4558,1.851,1.007,5.84,90.68,2.52,108.47,71.34,2.69,0.3914,0.0988,18.36,APO,,
Y,N,410777 (2009 FD),0.472,JPL 107,2460600.5,0.4929,1.164,0.59,3.13,281.56,1.26,9.26,96.47,1.74,0.7848,0.00187,22.18,APO,,
Y,N,260277 (2004 TR12),0.47,JPL 67,2460600.5,0.2097,0.8952,0.707,19.36,77.78,0.847,155.35,352.01,1.08,1.164,0.0958,18.27,ATE,,
Y,N,467352 (2003 KZ18),0.47,JPL 40,2460600.5,0.3308,0.949,0.635,23.89,154.63,0.925,249.95,272.76,1.26,1.066,0.16,21.32,ATE,,
Y,N,154807 (2004 PP97),0.469,JPL 166,2460600.5,0.3166,1.484,1.014,15.53,68.69,1.81,15.09,324.28,1.95,0.5454,0.146,18.64,APO,,
Y,N,332775 (2009 VO24),0.467,JPL 53,2460600.5,0.4619,1.547,0.832,6.06,343.58,1.92,163.67,220.38,2.26,0.5122,0.0732,19.7,APO,,
Y,N,516803 (2010 JG88),0.463,JPL 52,2460600.5,0.3844,1.374,0.846,30.61,106.06,1.61,213.35,299.78,1.9,0.6121,0.0529,19.51,APO,,
Y,N,162142 (1998 VR),0.462,JPL 96,2460600.5,0.3179,0.8753,0.597,21.81,170.75,0.819,46.36,75.02,1.15,1.204,0.151,18.83,ATE,,
Y,Y,398188 Agni (2010 LE15),0.462,JPL 138,2460600.5,0.2733,0.8646,0.628,13.25,328.62,0.804,134.18,122.49,1.1,1.226,0.0231,19.33,ATE,,
Y,N, 55408 (2001 TC2),0.461,JPL 97,2460600.5,0.2245,1.1,0.853,30.39,353.55,1.15,193.83,206.45,1.35,0.8545,0.144,18.82,APO,,
Y,Y,499582 (2010 TH19),0.461,JPL 52,2460600.5,0.3101,1.464,1.01,6.83,201.5,1.77,254.2,277.3,1.92,0.5562,0.0368,20.53,APO,,
Y,Y,163132 (2002 CU11),0.46,JPL 125,2460600.5,0.2952,1.22,0.86,48.78,110.53,1.35,157.74,229.17,1.58,0.7317,0.000225,18.61,APO,,
Y,Y,419472 (2010 DW1),0.459,JPL 64,2460600.5,0.2002,1.225,0.98,23.77,9.65,1.36,157.11,286.45,1.47,0.7269,0.00625,19.99,APO,,
Y,N,161999 (1989 RC),0.458,JPL 32,2460600.5,0.5121,2.316,1.13,7.37,181.39,3.52,140.14,357.43,3.5,0.2796,0.117,18.78,AMO,,
Y,N,436325 (2010 GR7),0.452,JPL 54,2460600.5,0.8456,1.831,0.283,24.13,192.01,2.48,157.56,276.15,3.38,0.3977,0.283,18.35,APO,,
Y,Y,484402 (2007 XH16),0.452,JPL 81,2460600.5,0.2348,1.187,0.908,27.43,58.32,1.29,91.27,323,1.47,0.7621,0.0145,19.68,APO,,
Y,Y, 85990 (1999 JV6),0.451,JPL 256,2460600.5,0.3111,1.008,0.695,5.36,235.57,1.01,124.3,312.19,1.32,0.9733,0.0316,20.27,APO,,
Y,N,218017 (2001 XV266),0.451,JPL 74,2460600.5,0.1927,1.196,0.966,12,265.07,1.31,214.08,100.23,1.43,0.7531,0.106,19.82,APO,,
Y,Y,389694 (2011 QD48),0.451,JPL 138,2460600.5,0.4921,1.545,0.785,19.07,106.79,1.92,358.79,216.68,2.31,0.5131,0.02,18.2,APO,,
Y,N,510073 (2010 JF88),0.451,JPL 58,2460600.5,0.6581,2.233,0.763,17.31,212.14,3.34,115.62,89.36,3.7,0.2954,0.147,18.56,APO,,
Y,N,239849 (1999 VO11),0.45,JPL 26,2460600.5,0.6336,2.256,0.827,15.75,72.35,3.39,67.45,109.16,3.69,0.2908,0.0714,18.65,APO,,
Y,N,429382 (2010 NW117),0.448,JPL 86,2460600.5,0.5328,2.354,1.1,3.41,148.6,3.61,252.66,304.78,3.61,0.2729,0.113,18.35,AMO,,
Y,N,138947 (2001 BA40),0.447,JPL 155,2460600.5,0.2538,1.119,0.835,12.85,0.08,1.18,270.86,257.77,1.4,0.8329,0.18,18.82,APO,,
Y,N,442605 (2012 HY33),0.44,JPL 40,2460600.5,0.5435,1.998,0.912,14.7,270.82,2.82,63.58,98.83,3.08,0.3491,0.165,19.29,APO,,
Y,Y,267337 (2001 VK5),0.439,JPL 210,2460600.5,0.514,1.269,0.617,19.43,263.93,1.43,54.22,64.72,1.92,0.6893,0.00065,18.06,APO,,
Y,Y,277570 (2005 YP180),0.439,JPL 67,2460600.5,0.617,1.372,0.526,4.11,92.47,1.61,288.91,276.63,2.22,0.613,0.0162,19.34,APO,,
Y,Y,444193 (2005 SE71),0.437,JPL 99,2460600.5,0.1944,1.069,0.862,24.83,78.29,1.11,39.1,22.73,1.28,0.8911,0.00214,18.19,APO,,
Y,N,476438 (2008 EB9),0.433,JPL 58,2460600.5,0.2174,1.563,1.223,21.35,251.4,1.95,341.69,128.03,1.9,0.5045,0.346,20.35,AMO,,
Y,Y, 33342 (1998 WT24),0.432,JPL 212,2460600.5,0.4177,0.7187,0.419,7.37,167.52,0.609,81.66,27.5,1.02,1.618,0.0109,18.02,ATE,,
Y,Y,221980 (1996 EO),0.432,JPL 45,2460600.5,0.4008,1.342,0.804,21.59,64.69,1.55,356.46,213.52,1.88,0.6342,0.0336,19.11,APO,,
Y,Y,357022 (1999 YG3),0.432,JPL 82,2460600.5,0.3295,1.285,0.861,34.52,250.24,1.46,293.25,318.54,1.71,0.6769,0.0427,19.07,APO,,
Y,Y,187040 (2005 JS108),0.43,JPL 156,2460600.5,0.3222,1.355,0.919,6.04,244,1.58,110.84,28.42,1.79,0.6246,0.0196,19.23,APO,,
Y,Y,207945 (1991 JW),0.423,JPL 75,2460600.5,0.1186,1.039,0.916,8.71,301.95,1.06,53.85,92.1,1.16,0.9305,0.0201,19.6,APO,,
Y,Y,  4034 Vishnu (1986 PA),0.42,JPL 138,2460600.5,0.4441,1.06,0.589,11.17,296.7,1.09,157.89,260.4,1.53,0.9037,0.0195,18.52,APO,,
Y,Y,417634 (2006 XG1),0.418,JPL 36,2460600.5,0.5958,2.458,0.994,20.5,344.14,3.85,38.46,232.29,3.92,0.2557,0.0148,18.57,APO,,
Y,Y,152754 (1999 GS6),0.414,JPL 87,2460600.5,0.4974,1.191,0.599,2.02,134.97,1.3,314.42,283.4,1.78,0.7582,0.0189,19.31,APO,,
Y,N,374449 (2005 XD1),0.414,JPL 76,2460600.5,0.3065,1.62,1.124,18.28,198.74,2.06,287.34,34.04,2.12,0.4778,0.152,19.4,AMO,,
Y,N,152742 (1998 XE12),0.413,JPL 130,2460600.5,0.7392,0.8781,0.229,13.43,353.16,0.823,280.02,257.41,1.53,1.198,0.112,19.1,ATE,,
Y,N,345646 (2006 TN),0.413,JPL 76,2460600.5,0.345,1.562,1.023,17.28,131.71,1.95,24.3,334.33,2.1,0.5051,0.0997,19.74,AMO,,
Y,N,482054 (2010 AE),0.413,JPL 73,2460600.5,0.3769,1.489,0.928,15.98,270.87,1.82,294.47,0.41,2.05,0.5426,0.147,19.47,APO,,
Y,N,530938 (2011 XE),0.413,JPL 59,2460600.5,0.4634,0.7839,0.421,20.72,46.62,0.694,221.25,331.73,1.15,1.42,0.0533,19.3,ATE,,
Y,Y,391211 (2006 HZ51),0.412,JPL 62,2460600.5,0.4502,1.897,1.043,12.41,193.34,2.61,84.26,347.22,2.75,0.3772,0.0355,18.48,AMO,,
Y,N, 66400 (1999 LT7),0.411,JPL 116,2460600.5,0.5726,0.8554,0.366,9.06,341.41,0.791,79.8,247.27,1.35,1.246,0.0593,19.29,ATE,,
Y,N,211871 (2004 HO),0.411,JPL 83,2460600.5,0.5109,1.847,0.903,7.87,163.78,2.51,146.11,14.91,2.79,0.3927,0.0604,18.86,APO,,
Y,Y,297418 (2000 SP43),0.407,JPL 207,2460600.5,0.4669,0.8115,0.433,10.34,224.46,0.731,350.53,70.52,1.19,1.348,0.019,18.52,ATE,,
Y,N,345705 (2006 VB14),0.406,JPL 217,2460600.5,0.4212,0.767,0.444,31.03,346.46,0.672,258.71,75.49,1.09,1.467,0.0791,18.59,ATE,,
Y,N,  5797 Bivoj (1980 AA),0.4,JPL 101,2460600.5,0.4443,1.894,1.052,4.19,168.64,2.61,298.92,69.36,2.74,0.3782,0.0712,18.88,AMO,,
Y,N,136564 (1977 VA),0.4,JPL 71,2460600.5,0.3944,1.865,1.13,2.99,172.67,2.55,224.45,156.18,2.6,0.3868,0.137,19.28,AMO,,
Y,Y,162000 (1990 OS),0.4,JPL 99,2460600.5,0.4624,1.678,0.902,1.09,21.59,2.17,346.51,239.67,2.45,0.4532,0.00896,19.64,APO,,
Y,Y,301844 (1990 UA),0.4,JPL 41,2460600.5,0.526,1.642,0.778,0.93,202.58,2.1,104.28,87.51,2.51,0.4682,0.012,19.71,APO,,
Y,Y,308635 (2005 YU55),0.4,JPL 135,2460600.5,0.4305,1.157,0.659,0.34,273.56,1.24,35.93,189.35,1.65,0.7921,0.000429,21.91,APO,,
Y,Y,341843 (2008 EV5),0.4,JPL 156,2460600.5,0.0827,0.9602,0.881,7.45,235.84,0.941,93.23,63.75,1.04,1.048,0.0147,20.05,ATE,,
Y,Y,360191 (1988 TA),0.4,JPL 53,2460600.5,0.4786,1.54,0.803,2.53,105.26,1.91,194.65,329.39,2.28,0.5156,0.0058,21.08,APO,,
Y,Y,496817 (1989 VB),0.4,JPL 73,2460600.5,0.4601,1.862,1.005,2.18,330.92,2.54,37.85,278.4,2.72,0.388,0.0168,19.99,APO,,
Y,N,408751 (1987 SF3),0.399,JPL 25,2460600.5,0.5338,2.253,1.05,3.35,134.61,3.38,186.98,0.15,3.46,0.2915,0.0558,19.02,AMO,,
Y,Y,250680 (2005 QC5),0.398,JPL 40,2460600.5,0.3645,0.893,0.568,9.45,108.72,0.844,48.05,64.8,1.22,1.168,0.0476,19.63,ATE,,
Y,N,475950 (2007 FE1),0.389,JPL 39,2460600.5,0.5489,2.017,0.91,9.85,193.24,2.87,44.73,18.94,3.12,0.344,0.0671,18.85,APO,,
Y,Y,163818 (2003 RX7),0.386,JPL 187,2460600.5,0.3545,1.229,0.794,10.39,245.91,1.36,241.01,68.68,1.67,0.723,0.0264,18.46,APO,,
Y,Y,367248 (2007 MK13),0.386,JPL 55,2460600.5,0.1397,1.025,0.881,19.88,259.97,1.04,95.08,185.35,1.17,0.9505,0.0322,20.21,APO,,
Y,N,464885 (2005 LS3),0.384,JPL 42,2460600.5,0.2677,1.49,1.091,34.9,123.6,1.82,85.21,267.66,1.89,0.542,0.18,19.57,AMO,,
Y,N,482111 (2010 NT1),0.383,JPL 43,2460600.5,0.2182,1.458,1.14,39.52,306.32,1.76,283.25,58.13,1.78,0.5597,0.207,19.43,AMO,,
Y,N,311554 (2006 BQ147),0.382,JPL 115,2460600.5,0.4223,0.8199,0.474,24.38,153.21,0.742,146.77,224.39,1.17,1.328,0.0717,18.72,ATE,,
Y,N,614316 (2008 YZ32),0.382,JPL 41,2460600.5,0.6205,1.038,0.394,16.54,224.47,1.06,105.2,55.55,1.68,0.9324,0.0512,20.25,APO,,
Y,N,368184 (2000 RN77),0.381,JPL 66,2460600.5,0.3181,0.9512,0.649,16.1,211.77,0.928,312.69,188.89,1.25,1.062,0.108,19.47,ATE,,
Y,Y,504800 (2010 CO1),0.38,JPL 33,2460600.5,0.2179,1.013,0.792,24.02,252.71,1.02,351.56,78.84,1.23,0.9671,0.0222,21.48,APO,,
Y,N,706765 (2010 TK7),0.379,JPL 25,2460600.5,0.1903,0.9987,0.809,20.9,46.05,0.998,96.42,271.82,1.19,0.9875,0.0847,20.78,ATE,"Earth's first known Trojan asteroid, sharing Earth's orbit around the Sun",
Y,N,388838 (2008 EZ5),0.378,JPL 170,2460600.5,0.5075,2.091,1.03,8,228.21,3.02,15.07,163.3,3.15,0.3259,0.0808,19.62,AMO,,
Y,Y,206378 (2003 RB),0.376,JPL 183,2460600.5,0.4389,1.788,1.003,6.72,44.07,2.39,317.13,287,2.57,0.4121,0.0449,18.76,APO,,
Y,N,307918 (2004 EU9),0.374,JPL 125,2460600.5,0.5053,0.8804,0.436,28.58,202.43,0.826,161.08,98.26,1.33,1.193,0.168,19.02,ATE,,
Y,Y,363831 (2005 PY16),0.371,JPL 65,2460600.5,0.525,1.976,0.939,6.41,193.53,2.78,159.31,327.45,3.01,0.3549,0.0418,19.35,APO,,
Y,N,242191 (2003 NZ6),0.37,JPL 118,2460600.5,0.4924,0.7934,0.403,18.25,311.62,0.707,124.58,294.05,1.18,1.395,0.0653,19.02,ATE,,
Y,Y,414286 (2008 OC6),0.369,JPL 109,2460600.5,0.1992,0.9231,0.739,21.85,295.86,0.887,177.57,11.73,1.11,1.111,0.03,18.59,ATE,,
Y,N,436324 (2010 GZ6),0.369,JPL 81,2460600.5,0.1441,1.401,1.199,44.84,73.94,1.66,199.43,205.66,1.6,0.5941,0.312,19.44,AMO,,
Y,Y,386454 (2008 XM),0.367,JPL 32,2460600.5,0.9093,1.222,0.111,5.45,27.39,1.35,240.61,301.03,2.33,0.7295,0.00469,20.03,APO,,
Y,Y,387746 (2003 MH4),0.366,JPL 72,2460600.5,0.5133,1.964,0.956,3.9,323.53,2.75,259.55,287.43,2.97,0.358,0.00335,20.1,APO,,
Y,Y,529753 (2010 MF1),0.363,JPL 127,2460600.5,0.5882,2.498,1.029,9.1,27.84,3.95,286.94,212.69,3.97,0.2496,0.0425,19.65,AMO,,
Y,Y,265196 (2004 BW58),0.361,JPL 123,2460600.5,0.3787,1.455,0.904,15.21,301.85,1.75,132.61,328.22,2.01,0.5617,0.0389,18.84,APO,,
Y,N,325102 (2008 EY5),0.361,JPL 46,2460600.5,0.6268,0.6262,0.234,5.11,106.69,0.496,245.43,332.05,1.02,1.989,0.0784,20.17,ATE,,
Y,N,529720 (2010 LM14),0.361,JPL 24,2460600.5,0.3794,1.111,0.689,25.92,187.94,1.17,176.64,32.21,1.53,0.8421,0.313,21.3,APO,,
Y,N,411611 (2011 QF14),0.358,JPL 114,2460600.5,0.4833,2.026,1.047,3.4,297.3,2.88,138.27,156.47,3,0.3418,0.0815,18.75,AMO,,
Y,N,474425 (2002 YF4),0.358,JPL 85,2460600.5,0.3337,1.755,1.169,33.68,93.59,2.32,61.66,107.23,2.34,0.424,0.432,18.84,AMO,,
Y,Y,419624 (2010 SO16),0.357,JPL 80,2460600.5,0.0754,1.004,0.928,14.51,109.24,1.01,40.35,202.51,1.08,0.9799,0.0307,20.44,APO,,
Y,N,499496 (2010 MR87),0.357,JPL 52,2460600.5,0.3906,1.734,1.057,34.99,132.51,2.28,195.27,71.08,2.41,0.4317,0.15,19.49,AMO,,
Y,N,485110 (2010 HZ108),0.356,JPL 41,2460600.5,0.2085,1.249,0.988,22.88,106.65,1.4,173.99,67.66,1.51,0.7064,0.108,20.88,APO,,
Y,N,105141 (2000 NF11),0.352,JPL 106,2460600.5,0.189,1.421,1.152,14.82,115.95,1.69,123.7,162.99,1.69,0.5818,0.214,19.11,AMO,,
Y,N,515049 (2010 FL),0.351,JPL 43,2460600.5,0.6555,1.919,0.661,11.4,214.09,2.66,66.61,144.12,3.18,0.3707,0.14,19.31,APO,,
Y,N,415711 (1998 WT7),0.346,JPL 74,2460600.5,0.11,1.152,1.025,40.7,235.93,1.24,248.26,300.27,1.28,0.7972,0.0854,19.08,AMO,,
Y,Y,523664 (2012 OD1),0.346,JPL 169,2460600.5,0.5029,0.8288,0.412,42.26,224.36,0.754,303.73,191.12,1.25,1.306,0.0376,18.59,ATE,,
Y,Y,234145 (2000 EW70),0.344,JPL 76,2460600.5,0.3213,0.9376,0.636,5.43,125.77,0.908,178.03,294.52,1.24,1.086,0.0108,21.58,ATE,,
Y,N,234341 (2001 FZ57),0.344,JPL 139,2460600.5,0.6042,0.9442,0.374,20.67,339.98,0.917,22.09,96.2,1.51,1.074,0.158,18.94,ATE,,
Y,N,387733 (2003 GS),0.344,JPL 93,2460600.5,0.2185,0.893,0.698,12.03,181.88,0.844,196.2,354.33,1.09,1.168,0.089,18.98,ATE,,
Y,N,495858 (2003 MJ4),0.342,JPL 124,2460600.5,0.5614,2.303,1.01,5.31,271.87,3.5,77.39,12.11,3.6,0.2819,0.092,18.98,APO,,
Y,Y, 99942 Apophis (2004 MN4),0.34,JPL 218,2460600.5,0.1911,0.9224,0.746,3.34,126.67,0.886,203.9,227.76,1.1,1.113,0.000613,19.09,ATE,Close approach in 2029,
Y,N,496837 (1998 SB15),0.337,JPL 54,2460600.5,0.1615,1.226,1.028,15.63,67.68,1.36,6.75,12.22,1.42,0.7256,0.112,20.83,AMO,,
Y,Y,162567 (2000 RW37),0.335,JPL 64,2460600.5,0.2501,1.247,0.935,13.75,133.29,1.39,333.29,12.21,1.56,0.7075,0.00905,19.97,APO,,
Y,Y,  4660 Nereus (1982 DB),0.33,JPL 277,2460600.5,0.3587,1.485,0.952,1.45,159.54,1.81,313.11,191.96,2.02,0.5446,0.00367,18.75,APO,,
Y,Y, 25143 Itokawa (1998 SF36),0.33,JPL 219,2460600.5,0.2803,1.324,0.953,1.62,162.82,1.52,69.08,142.57,1.7,0.6469,0.0129,19.26,APO,Visited by Japan's Hayabusa mission which returned samples to Earth,
Y,N,238456 (2004 RK),0.328,JPL 119,2460600.5,0.3004,1.389,0.972,18.15,264.43,1.64,178.76,36.87,1.81,0.6023,0.165,19.43,APO,,
Y,N,477762 (2010 XZ67),0.326,JPL 108,2460600.5,0.4942,2.06,1.042,11.85,169.15,2.96,280.19,236.8,3.08,0.3333,0.0635,19.74,AMO,,
Y,N,613939 (2008 CH116),0.322,JPL 41,2460600.5,0.5875,0.6628,0.273,20.37,248.18,0.54,85.9,196.09,1.05,1.827,0.224,19.25,ATE,,
Y,Y,477519 (2010 DJ56),0.321,JPL 77,2460600.5,0.2453,1.25,0.943,34.84,309.28,1.4,149.91,231.65,1.56,0.7053,0.0288,19.15,APO,,
Y,N,139056 (2001 FY),0.32,JPL 77,2460600.5,0.3281,1.886,1.267,4.73,110.68,2.59,111.15,19.4,2.5,0.3806,0.274,19.18,AMO,,
Y,Y,297300 (1998 SC15),0.32,JPL 126,2460600.5,0.4144,1.273,0.745,16.08,277.49,1.44,198.68,337.6,1.8,0.6863,0.000468,19.29,APO,,
Y,N,169352 (2001 UY16),0.316,JPL 72,2460600.5,0.5196,2.083,1.001,32.28,48.41,3.01,32.2,215.33,3.17,0.3278,0.121,19.36,APO,,
Y,N,388189 (2006 DS14),0.315,JPL 59,2460600.5,0.3365,0.8638,0.573,26.54,187.5,0.803,162.24,240.74,1.15,1.228,0.158,20.55,ATE,,
Y,Y,511684 (2015 BN509),0.315,JPL 134,2460600.5,0.5685,1.007,0.434,4.15,143.2,1.01,120.08,166.2,1.58,0.9756,0.0248,20.79,APO,,
Y,N,537829 (2015 XY378),0.312,JPL 24,2460600.5,0.4893,0.7102,0.363,13.92,265.66,0.598,1.21,120.68,1.06,1.647,0.197,19.51,ATE,,
Y,Y,434633 (2005 WB1),0.31,JPL 37,2460600.5,0.3554,1.264,0.815,22.88,265.73,1.42,61.41,164.11,1.71,0.6937,0.0478,20.67,APO,,
Y,N,532874 (2013 YZ13),0.31,JPL 53,2460600.5,0.2618,1.39,1.026,31.22,235.54,1.64,288.39,171.05,1.75,0.6011,0.136,19.62,AMO,,
Y,N,523632 (2009 UX17),0.309,JPL 65,2460600.5,0.0835,1.189,1.09,10.8,278.65,1.3,216.09,106.96,1.29,0.7599,0.152,21.51,AMO,,
Y,N,456537 (2007 BG),0.308,JPL 59,2460600.5,0.3305,0.7868,0.527,12.75,133.38,0.698,168.28,317.57,1.05,1.412,0.0508,19.63,ATE,,
Y,Y,468727 (2010 JE87),0.308,JPL 52,2460600.5,0.437,0.9042,0.509,16.91,242.31,0.86,120.47,194.33,1.3,1.146,0.0347,20.77,ATE,,
Y,N,458135 (2010 GE25),0.304,JPL 44,2460600.5,0.4677,2.067,1.1,21.61,235.56,2.97,324.31,313.3,3.03,0.3317,0.225,20.28,AMO,,
