neo,pha,full_name,diameter,orbit_id,epoch,e,a,q,i,w,per_y,om,ma,ad,n,moid,H,class,Notes,
Y,N, 66272 (1999 JW6),0.808,JPL 189,2460600.5,0.1433,1.508,1.292,51.32,68.4,1.85,66.38,343.38,1.72,0.5325,0.41,17.24,AMO,,
Y,N,416071 (2002 NV),0.803,JPL 61,2460600.5,0.6169,2.667,1.022,22.27,271.83,4.36,294.23,65.23,4.31,0.2263,0.309,18.03,AMO,,
Y,Y, 86819 (2000 GK137),0.802,JPL 162,2460600.5,0.5059,1.995,0.986,10.06,150.3,2.82,164.88,212.48,3,0.3497,0.0168,17.47,APO,,
Y,Y, 88254 (2001 FM129),0.8,JPL 195,2460600.5,0.6296,1.182,0.438,1.52,140.23,1.29,272.11,166.57,1.93,0.7666,0.01,17.77,APO,,
Y,N,518507 (2006 EE1),0.794,JPL 67,2460600.5,0.2764,1.203,0.87,36.4,278.02,1.32,154.21,93.57,1.54,0.7473,0.0747,19.94,APO,,
Y,Y,163899 (2003 SD220),0.791,JPL 173,2460600.5,0.21,0.8276,0.654,8.54,326.99,0.753,273.71,128.47,1,1.309,0.0173,17.63,ATE,,
Y,N,162980 (2001 RR17),0.79,JPL 248,2460600.5,0.4886,1.553,0.794,30.4,351.5,1.94,177.6,166.8,2.31,0.5092,0.196,16.77,APO,,
Y,N,418797 (2008 VF),0.789,JPL 100,2460600.5,0.3258,0.9059,0.611,26.2,3.28,0.862,234.4,353.12,1.2,1.143,0.21,19.41,ATE,,
Y,N,152964 (2000 GP82),0.788,JPL 164,2460600.5,0.3934,1.397,0.847,13.23,333.08,1.65,114.86,22.31,1.95,0.5971,0.0902,17.8,APO,,
Y,N,364877 (2008 EM9),0.786,JPL 91,2460600.5,0.8526,1.958,0.289,9.44,181.78,2.74,229.68,41.3,3.63,0.3596,0.134,17.34,APO,,
Y,Y,263976 (2009 KD5),0.785,JPL 172,2460600.5,0.2615,1.046,0.773,13.47,294.37,1.07,104.49,26.87,1.32,0.9211,0.0492,18.4,APO,,
Y,N,  7839 (1994 ND),0.784,JPL 47,2460600.5,0.5187,2.165,1.042,27.12,228.32,3.19,102.51,167.97,3.29,0.3095,0.137,17.83,AMO,,
Y,N,381989 (2010 HR80),0.783,JPL 43,2460600.5,0.4956,1.347,0.68,26.71,291.31,1.56,6.22,40.16,2.02,0.6301,0.104,19.87,APO,,
Y,Y, 65803 Didymos (1996 GT),0.78,JPL 219,2460600.5,0.3833,1.643,1.013,3.41,319.6,2.11,72.99,339.93,2.27,0.4682,0.0398,18.11,APO,"Target of NASA's DART mission, a binary system with a smaller moon",
Y,N,215757 (2004 FU64),0.78,JPL 92,2460600.5,0.3669,1.838,1.164,24.88,286.44,2.49,20.88,24.86,2.51,0.3956,0.342,17.93,AMO,,
Y,Y,304330 (2006 SX217),0.78,JPL 91,2460600.5,0.3103,1.412,0.974,21.04,176.24,1.68,32.6,92.72,1.85,0.5876,0.0293,18.9,APO,,
Y,N,162080 (1998 DG16),0.777,JPL 89,2460600.5,0.3582,0.8967,0.576,16.21,356.88,0.849,344.33,323.78,1.22,1.161,0.189,19.95,ATE,,
Y,N,152952 (2000 GC2),0.776,JPL 131,2460600.5,0.187,1.383,1.125,55.29,280.2,1.63,358.69,304.86,1.64,0.6057,0.28,17.57,AMO,,
Y,N, 85628 (1998 KV2),0.775,JPL 711,2460600.5,0.3314,1.592,1.065,13.03,50.59,2.01,66.73,141.97,2.12,0.4905,0.144,17.29,AMO,,
Y,N,393359 (1998 ME3),0.774,JPL 30,2460600.5,0.4828,2.178,1.127,6,165.39,3.22,129.48,60.04,3.23,0.3066,0.114,19.44,AMO,,
Y,N,406952 (2009 KJ),0.772,JPL 41,2460600.5,0.7175,1.241,0.351,32.96,67.11,1.38,12.49,90.14,2.13,0.713,0.0874,17.13,APO,,
Y,N,488494 (2000 JA3),0.766,JPL 49,2460600.5,0.4569,2.253,1.224,10.19,151.2,3.38,119.61,65.19,3.28,0.2914,0.223,18.75,AMO,,
Y,N,241370 (2008 LW8),0.764,JPL 209,2460600.5,0.3936,1.676,1.016,17.27,118.63,2.17,223.1,174.13,2.34,0.4544,0.142,17.42,APO,,
Y,Y,445305 (2010 DM56),0.762,JPL 52,2460600.5,0.2927,1.306,0.924,25.6,48.17,1.49,349.61,350.69,1.69,0.6601,0.00644,19.71,APO,,
Y,N,262623 (2006 WY2),0.761,JPL 217,2460600.5,0.3329,0.9833,0.656,27.55,159.97,0.975,99.83,243.79,1.31,1.011,0.255,18.64,ATE,,
Y,N, 88710 (2001 SL9),0.76,JPL 222,2460600.5,0.2701,1.061,0.775,21.9,329.36,1.09,202.83,243.3,1.35,0.9012,0.196,17.67,APO,,
Y,N,469494 (2002 XS40),0.758,JPL 50,2460600.5,0.338,1.497,0.991,11.63,83.79,1.83,97.61,270.34,2,0.538,0.156,20.07,APO,,
Y,Y,138127 (2000 EE14),0.754,JPL 161,2460600.5,0.5331,0.6618,0.309,26.46,197.86,0.538,155.75,76.31,1.01,1.831,0.0219,17.11,ATE,,
Y,N,274138 (2008 FU6),0.747,JPL 202,2460600.5,0.569,1.324,0.571,12.83,129.12,1.52,192.82,259.99,2.08,0.647,0.102,17.77,APO,,
Y,N,511808 (2015 FH120),0.746,JPL 73,2460600.5,0.6097,2.038,0.795,11.1,15.44,2.91,71.43,120.78,3.28,0.3388,0.127,18.67,APO,,
Y,N, 86667 (2000 FO10),0.745,JPL 362,2460600.5,0.5946,0.8594,0.348,14.29,172.49,0.797,208.3,94.23,1.37,1.237,0.134,17.54,ATE,,
Y,N,198856 (2005 LR3),0.742,JPL 143,2460600.5,0.3352,1.654,1.1,25,26.4,2.13,73.78,165.25,2.21,0.4633,0.14,17.01,AMO,,
Y,N,514652 (2005 SC71),0.741,JPL 68,2460600.5,0.3825,1.91,1.18,32.38,117.89,2.64,196.51,112.93,2.64,0.3733,0.332,18.31,AMO,,
Y,Y,294739 (2008 CM),0.74,JPL 349,2460600.5,0.408,1.566,0.927,36.01,130.69,1.96,279.54,196.87,2.2,0.503,0.0447,17.04,APO,,
Y,N,477491 (2010 CD19),0.739,JPL 48,2460600.5,0.5788,2.258,0.951,20.75,132.6,3.39,309.41,125.6,3.56,0.2906,0.0734,17.99,APO,,
Y,Y, 11500 Tomaiyowit (1989 UR),0.738,JPL 213,2460600.5,0.3558,1.08,0.696,10.31,289.52,1.12,234.39,323.61,1.46,0.8783,0.0345,18.37,APO,,
Y,Y, 68346 (2001 KZ66),0.736,JPL 238,2460600.5,0.4166,1.507,0.879,16.7,140.29,1.85,219.37,133.79,2.14,0.5326,0.0386,16.93,APO,,
Y,Y,163348 (2002 NN4),0.735,JPL 161,2460600.5,0.4345,0.8758,0.495,5.42,222.21,0.82,259.43,207.78,1.26,1.202,0.00719,20.08,ATE,,
Y,N,450159 (2000 JJ5),0.735,JPL 37,2460600.5,0.7024,1.91,0.569,9.45,50.9,2.64,59.83,119.2,3.25,0.3733,0.0967,19.03,APO,,
Y,N,162181 (1999 LF6),0.729,JPL 290,2460600.5,0.2805,1.41,1.014,18.94,140.89,1.67,208.5,1.66,1.8,0.5889,0.0643,18.22,APO,,
Y,N,464797 (2004 FZ1),0.726,JPL 70,2460600.5,0.5309,1.794,0.841,52.62,89.5,2.4,152.59,171.68,2.75,0.4103,0.228,18.3,APO,,
Y,N,173689 (2001 PK9),0.724,JPL 97,2460600.5,0.395,1.779,1.077,10.43,314.08,2.37,272.88,337.06,2.48,0.4152,0.116,18.26,AMO,,
Y,Y,395207 (2010 HQ80),0.724,JPL 85,2460600.5,0.4893,1.568,0.801,27.85,66.3,1.96,218.47,79.78,2.34,0.5019,0.00659,19.62,APO,,
Y,N,163454 (2002 RN129),0.712,JPL 70,2460600.5,0.3698,1.162,0.732,23.12,198.67,1.25,332.1,57.32,1.59,0.7868,0.235,19.11,APO,,
Y,N,271480 (2004 FX31),0.709,JPL 263,2460600.5,0.442,1.261,0.703,24.75,285.8,1.42,169.13,230.7,1.82,0.6964,0.0651,17.67,APO,,
Y,Y, 35396 (1997 XF11),0.704,JPL 393,2460600.5,0.4837,1.442,0.745,4.1,103.04,1.73,213.65,272.13,2.14,0.5691,0.000394,17.01,APO,,
Y,N,520808 (2014 TF64),0.704,JPL 52,2460600.5,0.4179,1.613,0.939,52.68,114.25,2.05,217.97,348.53,2.29,0.481,0.132,20.01,APO,,
Y,N,237805 (2002 CF26),0.703,JPL 283,2460600.5,0.3412,1.604,1.057,35.3,33.62,2.03,342.08,172.19,2.15,0.4851,0.0929,17.4,AMO,,
Y,Y,533722 (2014 NE52),0.701,JPL 55,2460600.5,0.6585,2.385,0.815,3.86,337.61,3.68,54.52,256.99,3.96,0.2675,0.0357,18.21,APO,,
Y,Y,  3362 Khufu (1984 QA),0.7,JPL 24,2460600.5,0.4685,0.9895,0.526,9.92,55.09,0.984,152.4,359.85,1.45,1.001,0.0133,18.52,ATE,,
Y,N,  3988 Huma (1986 LA),0.7,JPL 151,2460600.5,0.3166,1.545,1.056,10.77,86.91,1.92,229.79,316.36,2.03,0.5135,0.178,17.94,AMO,,
